SpatialDimValueCode,Period,FactValueNumeric,indicator,value
AFG,2000,7.71,Expected Years of Schooling (years),5.856
AFG,2000,7.71,Gross National Income Per Capita (2017 PPP$),1047.343
AFG,2000,7.71,Human Development Index (value),0.34
AFG,2000,7.71,Life Expectancy at Birth (years),55.298
AFG,2000,7.71,Mean Years of Schooling (years),1.264
AFG,2001,7.89,Expected Years of Schooling (years),6.148
AFG,2001,7.89,Gross National Income Per Capita (2017 PPP$),981.134
AFG,2001,7.89,Human Development Index (value),0.344
AFG,2001,7.89,Life Expectancy at Birth (years),55.798
AFG,2001,7.89,Mean Years of Schooling (years),1.316
AFG,2002,7.85,Expected Years of Schooling (years),6.44
AFG,2002,7.85,Gross National Income Per Capita (2017 PPP$),1364.24
AFG,2002,7.85,Human Development Index (value),0.368
AFG,2002,7.85,Life Expectancy at Birth (years),56.454
AFG,2002,7.85,Mean Years of Schooling (years),1.367
AFG,2003,7.72,Expected Years of Schooling (years),6.732
AFG,2003,7.72,Gross National Income Per Capita (2017 PPP$),1465.418
AFG,2003,7.72,Human Development Index (value),0.379
AFG,2003,7.72,Life Expectancy at Birth (years),57.344
AFG,2003,7.72,Mean Years of Schooling (years),1.419
AFG,2004,7.77,Expected Years of Schooling (years),7.6
AFG,2004,7.77,Gross National Income Per Capita (2017 PPP$),1453.663
AFG,2004,7.77,Human Development Index (value),0.395
AFG,2004,7.77,Life Expectancy at Birth (years),57.944
AFG,2004,7.77,Mean Years of Schooling (years),1.47
AFG,2005,7.64,Expected Years of Schooling (years),7.858
AFG,2005,7.64,Gross National Income Per Capita (2017 PPP$),1508.276
AFG,2005,7.64,Human Development Index (value),0.402
AFG,2005,7.64,Life Expectancy at Birth (years),58.361
AFG,2005,7.64,Mean Years of Schooling (years),1.522
AFG,2006,7.56,Expected Years of Schooling (years),8.116
AFG,2006,7.56,Gross National Income Per Capita (2017 PPP$),1577.87
AFG,2006,7.56,Human Development Index (value),0.41
AFG,2006,7.56,Life Expectancy at Birth (years),58.684
AFG,2006,7.56,Mean Years of Schooling (years),1.595
AFG,2007,7.42,Expected Years of Schooling (years),8.373
AFG,2007,7.42,Gross National Income Per Capita (2017 PPP$),1894.878
AFG,2007,7.42,Human Development Index (value),0.426
AFG,2007,7.42,Life Expectancy at Birth (years),59.111
AFG,2007,7.42,Mean Years of Schooling (years),1.669
AFG,2008,7.17,Expected Years of Schooling (years),8.631
AFG,2008,7.17,Gross National Income Per Capita (2017 PPP$),1838.977
AFG,2008,7.17,Human Development Index (value),0.431
AFG,2008,7.17,Life Expectancy at Birth (years),59.852
AFG,2008,7.17,Mean Years of Schooling (years),1.743
AFG,2009,6.84,Expected Years of Schooling (years),8.888
AFG,2009,6.84,Gross National Income Per Capita (2017 PPP$),1953.658
AFG,2009,6.84,Human Development Index (value),0.441
AFG,2009,6.84,Life Expectancy at Birth (years),60.364
AFG,2009,6.84,Mean Years of Schooling (years),1.816
AFG,2010,6.67,Expected Years of Schooling (years),9.181
AFG,2010,6.67,Gross National Income Per Capita (2017 PPP$),2006.789
AFG,2010,6.67,Human Development Index (value),0.449
AFG,2010,6.67,Life Expectancy at Birth (years),60.851
AFG,2010,6.67,Mean Years of Schooling (years),1.89
AFG,2011,6.42,Expected Years of Schooling (years),9.473
AFG,2011,6.42,Gross National Income Per Capita (2017 PPP$),2059.012
AFG,2011,6.42,Human Development Index (value),0.457
AFG,2011,6.42,Life Expectancy at Birth (years),61.419
AFG,2011,6.42,Mean Years of Schooling (years),1.937
AFG,2012,6.24,Expected Years of Schooling (years),9.804
AFG,2012,6.24,Gross National Income Per Capita (2017 PPP$),2174.351
AFG,2012,6.24,Human Development Index (value),0.467
AFG,2012,6.24,Life Expectancy at Birth (years),61.923
AFG,2012,6.24,Mean Years of Schooling (years),1.984
AFG,2013,6.17,Expected Years of Schooling (years),10.134
AFG,2013,6.17,Gross National Income Per Capita (2017 PPP$),2244.209
AFG,2013,6.17,Human Development Index (value),0.475
AFG,2013,6.17,Life Expectancy at Birth (years),62.417
AFG,2013,6.17,Mean Years of Schooling (years),2.031
AFG,2014,6.02,Expected Years of Schooling (years),10.465
AFG,2014,6.02,Gross National Income Per Capita (2017 PPP$),2222.094
AFG,2014,6.02,Human Development Index (value),0.48
AFG,2014,6.02,Life Expectancy at Birth (years),62.545
AFG,2014,6.02,Mean Years of Schooling (years),2.077
AFG,2015,5.99,Expected Years of Schooling (years),10.483
AFG,2015,5.99,Gross National Income Per Capita (2017 PPP$),2142.689
AFG,2015,5.99,Human Development Index (value),0.479
AFG,2015,5.99,Life Expectancy at Birth (years),62.659
AFG,2015,5.99,Mean Years of Schooling (years),2.124
AFG,2016,6.01,Expected Years of Schooling (years),10.501
AFG,2016,6.01,Gross National Income Per Capita (2017 PPP$),2122.363
AFG,2016,6.01,Human Development Index (value),0.483
AFG,2016,6.01,Life Expectancy at Birth (years),63.136
AFG,2016,6.01,Mean Years of Schooling (years),2.268
AFG,2017,5.95,Expected Years of Schooling (years),10.52
AFG,2017,5.95,Gross National Income Per Capita (2017 PPP$),2123.676
AFG,2017,5.95,Human Development Index (value),0.485
AFG,2017,5.95,Life Expectancy at Birth (years),63.016
AFG,2017,5.95,Mean Years of Schooling (years),2.411
AFG,2018,5.91,Expected Years of Schooling (years),10.538
AFG,2018,5.91,Gross National Income Per Capita (2017 PPP$),2082.114
AFG,2018,5.91,Human Development Index (value),0.486
AFG,2018,5.91,Life Expectancy at Birth (years),63.081
AFG,2018,5.91,Mean Years of Schooling (years),2.555
AFG,2019,5.96,Expected Years of Schooling (years),10.621
AFG,2019,5.96,Gross National Income Per Capita (2017 PPP$),2112.986
AFG,2019,5.96,Human Development Index (value),0.492
AFG,2019,5.96,Life Expectancy at Birth (years),63.565
AFG,2019,5.96,Mean Years of Schooling (years),2.698
AGO,2000,17.56,Expected Years of Schooling (years),4.822
AGO,2000,17.56,Gross National Income Per Capita (2017 PPP$),3912.939
AGO,2000,17.56,Human Development Index (value),0.38
AGO,2000,17.56,Life Expectancy at Birth (years),46.024
AGO,2000,17.56,Mean Years of Schooling (years),3.426
AGO,2001,17.46,Expected Years of Schooling (years),5.249
AGO,2001,17.46,Gross National Income Per Capita (2017 PPP$),3950.498
AGO,2001,17.46,Human Development Index (value),0.39
AGO,2001,17.46,Life Expectancy at Birth (years),46.59
AGO,2001,17.46,Mean Years of Schooling (years),3.465
AGO,2002,17.24,Expected Years of Schooling (years),5.676
AGO,2002,17.24,Gross National Income Per Capita (2017 PPP$),4658.731
AGO,2002,17.24,Human Development Index (value),0.406
AGO,2002,17.24,Life Expectancy at Birth (years),47.386
AGO,2002,17.24,Mean Years of Schooling (years),3.505
AGO,2003,17.47,Expected Years of Schooling (years),6.103
AGO,2003,17.47,Gross National Income Per Capita (2017 PPP$),4682.129
AGO,2003,17.47,Human Development Index (value),0.424
AGO,2003,17.47,Life Expectancy at Birth (years),49.617
AGO,2003,17.47,Mean Years of Schooling (years),3.546
AGO,2004,17.19,Expected Years of Schooling (years),6.53
AGO,2004,17.19,Gross National Income Per Capita (2017 PPP$),4926.365
AGO,2004,17.19,Human Development Index (value),0.437
AGO,2004,17.19,Life Expectancy at Birth (years),50.592
AGO,2004,17.19,Mean Years of Schooling (years),3.586
AGO,2005,16.26,Expected Years of Schooling (years),6.957
AGO,2005,16.26,Gross National Income Per Capita (2017 PPP$),5385.176
AGO,2005,16.26,Human Development Index (value),0.451
AGO,2005,16.26,Life Expectancy at Birth (years),51.57
AGO,2005,16.26,Mean Years of Schooling (years),3.627
AGO,2006,17.06,Expected Years of Schooling (years),7.384
AGO,2006,17.06,Gross National Income Per Capita (2017 PPP$),5666.718
AGO,2006,17.06,Human Development Index (value),0.463
AGO,2006,17.06,Life Expectancy at Birth (years),52.369
AGO,2006,17.06,Mean Years of Schooling (years),3.667
AGO,2007,15.02,Expected Years of Schooling (years),7.811
AGO,2007,15.02,Gross National Income Per Capita (2017 PPP$),6355.225
AGO,2007,15.02,Human Development Index (value),0.48
AGO,2007,15.02,Life Expectancy at Birth (years),53.642
AGO,2007,15.02,Mean Years of Schooling (years),3.708
AGO,2008,15.27,Expected Years of Schooling (years),8.238
AGO,2008,15.27,Gross National Income Per Capita (2017 PPP$),6489.314
AGO,2008,15.27,Human Development Index (value),0.492
AGO,2008,15.27,Life Expectancy at Birth (years),54.633
AGO,2008,15.27,Mean Years of Schooling (years),3.748
AGO,2009,13.65,Expected Years of Schooling (years),8.665
AGO,2009,13.65,Gross National Income Per Capita (2017 PPP$),7000.983
AGO,2009,13.65,Human Development Index (value),0.506
AGO,2009,13.65,Life Expectancy at Birth (years),55.752
AGO,2009,13.65,Mean Years of Schooling (years),3.788
AGO,2010,14.21,Expected Years of Schooling (years),9.092
AGO,2010,14.21,Gross National Income Per Capita (2017 PPP$),6909.369
AGO,2010,14.21,Human Development Index (value),0.516
AGO,2010,14.21,Life Expectancy at Birth (years),56.726
AGO,2010,14.21,Mean Years of Schooling (years),3.829
AGO,2011,13.49,Expected Years of Schooling (years),10.073
AGO,2011,13.49,Gross National Income Per Capita (2017 PPP$),6872.533
AGO,2011,13.49,Human Development Index (value),0.533
AGO,2011,13.49,Life Expectancy at Birth (years),57.596
AGO,2011,13.49,Mean Years of Schooling (years),3.869
AGO,2012,14.16,Expected Years of Schooling (years),10.492
AGO,2012,14.16,Gross National Income Per Capita (2017 PPP$),7256.369
AGO,2012,14.16,Human Development Index (value),0.545
AGO,2012,14.16,Life Expectancy at Birth (years),58.623
AGO,2012,14.16,Mean Years of Schooling (years),3.91
AGO,2013,14.16,Expected Years of Schooling (years),10.911
AGO,2013,14.16,Gross National Income Per Capita (2017 PPP$),7437.535
AGO,2013,14.16,Human Development Index (value),0.555
AGO,2013,14.16,Life Expectancy at Birth (years),59.307
AGO,2013,14.16,Mean Years of Schooling (years),3.95
AGO,2014,13.14,Expected Years of Schooling (years),11.33
AGO,2014,13.14,Gross National Income Per Capita (2017 PPP$),7651.197
AGO,2014,13.14,Human Development Index (value),0.565
