SpatialDimValueCode,Period,FactValueNumeric,Health_Expenditure
BRB,2019,0.31,6.0
ATG,2019,0.32,4.0
GRD,2019,0.64,5.0
VCT,2019,1.01,4.0
NER,2019,10.15,6.0
CUB,2019,10.19,11.0
CAN,2019,10.34,11.0
NZL,2019,10.3,9.0
UGA,2019,10.45,4.0
AUT,2019,10.4,10.0
GHA,2019,10.54,4.0
MWI,2019,10.58,7.0
SEN,2019,10.99,4.0
KEN,2019,11.01,4.0
HRV,2019,11.01,7.0
HTI,2019,11.17,4.0
ISL,2019,11.15,9.0
SLE,2019,11.25,9.0
AUS,2019,11.25,10.0
COG,2019,11.62,3.0
HUN,2019,11.77,6.0
DJI,2019,11.95,2.0
EST,2019,11.96,7.0
BDI,2019,12.12,9.0
JPN,2019,12.24,11.0
MDA,2019,12.17,6.0
GIN,2019,12.33,4.0
SWE,2019,12.37,11.0
GNB,2019,12.38,7.0
COD,2019,12.41,4.0
AGO,2019,12.55,2.0
BEN,2019,12.71,3.0
LKA,2019,12.89,4.0
IND,2019,12.91,3.0
GAB,2019,13.11,3.0
TCD,2019,13.22,5.0
FIN,2019,13.43,9.0
GNQ,2019,13.51,3.0
NAM,2019,13.51,8.0
BEL,2019,13.93,11.0
SVN,2019,13.97,8.0
BFA,2019,14.38,5.0
ZMB,2019,14.43,7.0
USA,2019,14.51,17.0
WSM,2019,14.6,6.0
SOM,2019,14.66,
TGO,2019,14.81,6.0
CPV,2019,15.23,5.0
CIV,2019,15.66,
CMR,2019,15.92,4.0
LVA,2019,16.06,7.0
MNE,2019,16.22,8.0
BLR,2019,16.49,6.0
ERI,2019,17.26,5.0
SLB,2019,17.37,4.0
UKR,2019,17.73,7.0
MNG,2019,18.02,4.0
KAZ,2019,18.05,3.0
URY,2019,18.83,9.0
JOR,2019,1.98,7.0
SYR,2019,2.11,
VEN,2019,2.1,2.0
STP,2019,2.2,5.0
JAM,2019,2.28,6.0
TUR,2019,2.34,4.0
BRN,2019,2.54,2.0
PHL,2019,2.54,4.0
HND,2019,2.58,7.0
DZA,2019,2.6,6.0
IDN,2019,2.55,3.0
PER,2019,2.73,5.0
ARM,2019,2.66,11.0
KWT,2019,2.66,5.0
LBN,2019,2.76,9.0
MDV,2019,2.76,8.0
PAN,2019,2.86,8.0
BWA,2019,20.22,6.0
LTU,2019,20.15,7.0
VUT,2019,20.96,3.0
KOR,2019,21.16,8.0
RUS,2019,21.6,6.0
CAF,2019,22.96,8.0
MOZ,2019,23.19,8.0
ZAF,2019,23.49,8.0
ZWE,2019,23.63,3.0
SUR,2019,25.89,9.0
FSM,2019,28.99,11.0
MMR,2019,2.96,5.0
TUN,2019,3.18,6.0
CYP,2019,3.18,7.0
EGY,2019,3.41,5.0
BHS,2019,3.37,6.0
PNG,2019,3.57,2.0
GRC,2019,3.62,8.0
ALB,2019,3.72,7.0
COL,2019,3.74,8.0
BGD,2019,3.85,2.0
KIR,2019,30.56,13.0
AZE,2019,3.97,4.0
ITA,2019,4.33,9.0
TON,2019,4.37,5.0
TLS,2019,4.53,6.0
LBY,2019,4.49,
OMN,2019,4.47,4.0
IRQ,2019,4.74,4.0
QAT,2019,4.66,3.0
NIC,2019,4.66,9.0
SDN,2019,4.76,5.0
SWZ,2019,40.46,7.0
GUY,2019,40.85,5.0
BTN,2019,5.07,4.0
DOM,2019,5.11,4.0
IRN,2019,5.13,6.0
ARE,2019,5.24,4.0
ISR,2019,5.15,7.0
TJK,2019,5.32,7.0
MLT,2019,5.32,9.0
ESP,2019,5.28,9.0
MEX,2019,5.29,5.0
SAU,2019,5.43,5.0
MRT,2019,5.47,3.0
KHM,2019,5.49,7.0
MYS,2019,5.77,4.0
LAO,2019,5.98,3.0
AFG,2019,5.96,15.0
SLV,2019,6.11,9.0
TKM,2019,6.07,6.0
PRY,2019,6.16,7.0
GTM,2019,6.23,6.0
BRA,2019,6.41,10.0
BGR,2019,6.5,7.0
SSD,2019,6.69,9.0
CHN,2019,6.67,5.0
BOL,2019,6.82,7.0
NGA,2019,6.87,3.0
LCA,2019,6.85,4.0
GBR,2019,6.88,10.0
YEM,2019,7.06,
VNM,2019,7.22,5.0
BHR,2019,7.2,4.0
MKD,2019,7.15,7.0
PRT,2019,7.22,10.0
MAR,2019,7.29,5.0
ROU,2019,7.33,6.0
LBR,2019,7.37,8.0
CRI,2019,7.62,7.0
DNK,2019,7.63,10.0
ECU,2019,7.68,8.0
SYC,2019,7.73,5.0
GEO,2019,7.65,7.0
BLZ,2019,7.65,5.0
SRB,2019,7.86,9.0
MLI,2019,7.96,4.0
THA,2019,7.95,4.0
CHL,2019,8.04,9.0
ARG,2019,8.14,10.0
PRK,2019,8.2,
TZA,2019,8.15,4.0
BIH,2019,8.25,9.0
TTO,2019,8.28,7.0
UZB,2019,8.28,5.0
KGZ,2019,8.28,4.0
DEU,2019,8.27,12.0
COM,2019,8.46,5.0
LUX,2019,8.62,5.0
MUS,2019,8.75,6.0
IRL,2019,8.9,7.0
LSO,2019,87.48,12.0
MDG,2019,9.18,3.0
SVK,2019,9.31,7.0
POL,2019,9.3,6.0
NLD,2019,9.27,10.0
RWA,2019,9.45,6.0
FJI,2019,9.51,4.0
ETH,2019,9.45,3.0
CZE,2019,9.48,8.0
GMB,2019,9.64,3.0
SGP,2019,9.65,4.0
FRA,2019,9.65,11.0
PAK,2019,9.77,3.0
NPL,2019,9.77,4.0
CHE,2019,9.83,11.0
NOR,2019,9.91,10.0
BRB,2018,0.31,6.0
ATG,2018,0.32,5.0
GRD,2018,0.35,5.0
VCT,2018,1.03,4.0
ARM,2018,1.65,10.0
JOR,2018,1.94,7.0
FRA,2018,10.05,11.0
NER,2018,10.13,5.0
ISL,2018,10.12,8.0
NOR,2018,10.13,10.0
CUB,2018,10.17,11.0
UGA,2018,10.25,4.0
POL,2018,10.4,6.0
CAN,2018,10.5,11.0
NZL,2018,10.66,9.0
GHA,2018,10.79,4.0
CZE,2018,10.83,7.0
MWI,2018,11.04,7.0
KEN,2018,11.03,4.0
HRV,2018,11.1,7.0
SLE,2018,11.2,8.0
SEN,2018,11.16,4.0
AUT,2018,11.19,10.0
AUS,2018,11.26,10.0
HTI,2018,11.37,4.0
COG,2018,11.63,2.0
EST,2018,11.56,7.0
MDA,2018,11.88,7.0
DJI,2018,12.17,2.0
GIN,2018,12.24,4.0
BDI,2018,12.31,7.0
COD,2018,12.39,3.0
AGO,2018,12.35,3.0
HUN,2018,12.58,7.0
SWE,2018,12.69,11.0
SVN,2018,12.79,8.0
GNB,2018,12.9,7.0
IND,2018,12.88,3.0
BEN,2018,12.97,3.0
LKA,2018,13.24,4.0
JPN,2018,13.37,11.0
GAB,2018,13.56,3.0
TCD,2018,13.57,5.0
NAM,2018,13.74,8.0
USA,2018,14.09,17.0
GNQ,2018,14.06,3.0
LVA,2018,14.29,6.0
BEL,2018,14.32,11.0
FIN,2018,14.41,9.0
BFA,2018,14.68,5.0
SOM,2018,14.81,
WSM,2018,14.8,5.0
TGO,2018,14.88,6.0
CMR,2018,15.93,4.0
CIV,2018,15.93,
ZMB,2018,15.9,5.0
CPV,2018,15.96,5.0
MNE,2018,16.45,8.0
SLB,2018,17.74,4.0
ERI,2018,17.84,4.0
