,SpatialDimValueCode,Period,HomicideRate,childHomeVisits,elderCare,partnerVioPrevention,youthPrograms
1,JPN,2019,0.21,2.0,2.0,-1.0,0.0
7,SGP,2019,0.25,1.0,1.0,2.0,2.0
9,BHR,2019,0.31,2.0,2.0,-1.0,2.0
17,QAT,2019,0.5,2.0,2.0,0.0,2.0
25,CHE,2019,0.49,1.0,1.0,1.0,2.0
26,AUT,2019,0.52,2.0,1.0,2.0,2.0
28,LUX,2019,0.5,,,,
33,ESP,2019,0.56,1.0,2.0,2.0,2.0
36,NOR,2019,0.59,0.0,1.0,0.0,1.0
39,CZE,2019,0.62,2.0,2.0,2.0,2.0
41,NLD,2019,0.63,2.0,2.0,0.0,2.0
42,OMN,2019,0.69,2.0,2.0,-1.0,2.0
43,ARE,2019,0.72,1.0,-1.0,-1.0,-1.0
44,BRN,2019,0.69,0.0,0.0,0.0,1.0
52,ITA,2019,0.67,1.0,1.0,2.0,2.0
62,KOR,2019,0.75,,,,
64,CHN,2019,0.77,1.0,2.0,1.0,2.0
66,IRL,2019,0.78,,,,
68,POL,2019,0.78,2.0,0.0,0.0,2.0
73,FRA,2019,0.83,,,,
81,SVN,2019,0.9,0.0,2.0,1.0,2.0
84,DEU,2019,0.92,2.0,2.0,2.0,2.0
86,PRT,2019,0.94,2.0,2.0,1.0,2.0
92,AUS,2019,0.97,2.0,2.0,2.0,0.0
94,GRC,2019,0.99,,,,
97,MLT,2019,1.0,,,,
103,SVK,2019,1.09,2.0,1.0,1.0,2.0
105,DNK,2019,1.09,,,,
107,HRV,2019,1.08,2.0,1.0,2.0,2.0
110,SWE,2019,1.13,2.0,2.0,2.0,2.0
118,SRB,2019,1.23,2.0,1.0,0.0,2.0
119,FIN,2019,1.16,2.0,2.0,1.0,2.0
120,ISL,2019,1.18,2.0,1.0,1.0,1.0
121,BGR,2019,1.21,2.0,2.0,0.0,1.0
123,NZL,2019,1.2,2.0,2.0,1.0,2.0
124,ISR,2019,1.22,1.0,2.0,2.0,2.0
128,CYP,2019,1.28,0.0,1.0,1.0,1.0
132,BEL,2019,1.3,2.0,1.0,1.0,2.0
136,ROU,2019,1.32,2.0,2.0,2.0,2.0
137,GBR,2019,1.28,2.0,2.0,1.0,2.0
140,HUN,2019,1.4,,,,
143,BIH,2019,1.48,,,,
146,MKD,2019,1.48,2.0,0.0,1.0,1.0
147,UZB,2019,1.47,2.0,0.0,0.0,1.0
154,CAN,2019,1.62,2.0,2.0,2.0,2.0
157,DZA,2019,1.66,1.0,2.0,1.0,2.0
159,MAR,2019,1.73,2.0,2.0,1.0,2.0
170,TJK,2019,1.82,1.0,2.0,0.0,1.0
171,KWT,2019,1.77,0.0,2.0,0.0,2.0
175,VNM,2019,1.85,2.0,2.0,2.0,1.0
176,SAU,2019,1.88,2.0,2.0,0.0,1.0
179,MDV,2019,1.88,1.0,0.0,0.0,2.0
184,COG,2019,10.01,,,,
189,MLI,2019,10.66,,,,
191,MRT,2019,10.86,1.0,0.0,0.0,0.0
193,ERI,2019,10.99,,,,
194,PNG,2019,11.04,0.0,0.0,0.0,1.0
196,BRB,2019,11.27,,,,
197,CIV,2019,11.49,,,,
203,CRI,2019,12.59,0.0,2.0,2.0,2.0
205,COD,2019,12.81,,,,
209,ZWE,2019,13.08,1.0,1.0,0.0,0.0
213,CPV,2019,13.36,,,,
218,PHL,2019,13.72,1.0,1.0,0.0,2.0
220,UGA,2019,13.95,1.0,1.0,0.0,1.0
225,SSD,2019,14.32,,,,
226,IRQ,2019,14.39,1.0,2.0,0.0,2.0
230,SYC,2019,14.81,1.0,2.0,1.0,2.0
240,BWA,2019,16.89,0.0,1.0,2.0,2.0
241,PAN,2019,17.18,0.0,2.0,1.0,1.0
244,DOM,2019,17.85,1.0,2.0,0.0,2.0
245,NAM,2019,18.03,,,,
