SpatialDimValueCode,Period,FactValueNumeric_alcohol,FactValueNumeric
AFG,2019,0.013,5.96
BEN,2019,5.19,12.71
ALB,2019,4.38,3.72
KGZ,2019,4.44,8.28
KHM,2019,4.5,5.49
CUB,2019,4.75,10.19
CHN,2019,4.78,6.67
MEX,2019,4.78,5.29
NAM,2019,5.04,13.51
PHL,2019,5.02,2.54
TZA,2019,5.09,8.15
GUY,2019,5.16,40.85
COL,2019,4.19,3.74
URY,2019,5.16,18.83
AGO,2019,5.28,12.55
BIH,2019,5.33,8.25
PRY,2019,5.29,6.16
CPV,2019,5.47,15.23
UKR,2019,5.53,17.73
COG,2019,5.6,11.62
DOM,2019,5.62,5.11
PER,2019,5.66,2.73
STP,2019,4.17,2.2
ARM,2019,4.08,2.66
NOR,2019,6.02,9.91
CRI,2019,3.19,7.62
SLV,2019,2.92,6.11
NGA,2019,2.95,6.87
TKM,2019,2.86,6.07
BOL,2019,2.98,6.82
ECU,2019,2.98,7.68
FJI,2019,3.05,9.51
HTI,2019,3.03,11.17
IND,2019,2.98,12.91
BDI,2019,3.1,12.12
ZMB,2019,3.25,14.43
MKD,2019,4.04,7.15
GNB,2019,3.29,12.38
PRK,2019,3.37,8.2
VNM,2019,3.42,7.22
JAM,2019,3.48,2.28
LSO,2019,3.48,87.48
MLI,2019,3.53,7.96
NIC,2019,3.73,4.66
KAZ,2019,3.86,18.05
CMR,2019,4.05,15.92
BLZ,2019,5.93,7.65
GNQ,2019,6.19,13.51
LBR,2019,2.84,7.37
USA,2019,8.93,14.51
ISL,2019,7.66,11.15
KOR,2019,7.76,21.16
CYP,2019,7.93,3.18
CAN,2019,8.08,10.34
FIN,2019,8.32,13.43
NLD,2019,8.29,9.27
GRD,2019,8.46,0.64
MLT,2019,9.04,5.32
ITA,2019,7.59,4.33
NZL,2019,9.12,10.3
BEL,2019,9.22,13.93
DNK,2019,9.23,7.63
CHE,2019,9.25,9.83
AUS,2019,9.5,11.25
BHS,2019,9.46,3.37
GBR,2019,9.84,6.88
MNE,2019,9.91,16.22
BGD,2019,0.004,3.85
VCT,2019,7.61,1.01
GEO,2019,7.64,7.65
BRA,2019,6.32,6.41
THA,2019,6.68,7.95
PAN,2019,6.28,2.86
MDA,2019,6.34,12.17
SUR,2019,6.26,25.89
CHL,2019,6.39,8.04
JPN,2019,6.44,12.24
GAB,2019,6.6,13.11
GRC,2019,6.62,3.62
UGA,2019,6.57,10.45
MUS,2019,6.98,8.75
ARG,2019,7.64,8.14
SWZ,2019,7.13,40.46
RUS,2019,7.11,21.6
SWE,2019,7.12,12.37
BFA,2019,7.22,14.38
MNG,2019,7.19,18.02
BWA,2019,7.43,20.22
LAO,2019,7.4,5.98
ZAF,2019,7.35,23.49
SRB,2019,7.45,7.86
ZWE,2019,2.78,23.63
TTO,2019,5.68,8.28
HND,2019,2.78,2.58
ERI,2019,0.88,17.26
TCD,2019,0.53,13.22
MAR,2019,0.47,7.29
OMN,2019,0.47,4.47
DZA,2019,0.57,2.6
BRN,2019,0.66,2.54
MDG,2019,0.71,9.18
MYS,2019,0.67,5.77
NPL,2019,0.8,9.77
AZE,2019,0.88,3.97
GMB,2019,0.86,9.64
TON,2019,0.3,4.37
TJK,2019,0.86,5.32
QAT,2019,0.98,4.66
TGO,2019,1.02,14.81
COD,2019,1.08,12.41
LBN,2019,1.17,2.76
PNG,2019,1.2,3.57
SLB,2019,1.15,17.37
MDV,2019,1.31,2.76
KIR,2019,0.39,30.56
TLS,2019,0.32,4.53
TUR,2019,1.27,2.34
IDN,2019,0.08,2.55
VEN,2019,2.71,2.1
LBY,2019,0.008,4.49
MRT,2019,0.0,5.47
SAU,2019,0.0,5.43
SOM,2019,0.0,14.66
SDN,2019,0.003,4.76
YEM,2019,0.018,7.06
BTN,2019,0.066,5.07
EGY,2019,0.15,3.41
IRN,2019,0.11,5.13
SEN,2019,0.31,10.99
NER,2019,0.09,10.15
PAK,2019,0.059,9.77
SYR,2019,0.14,2.11
COM,2019,0.18,8.46
