SpatialDimValueCode,Period,FactValueNumeric
BRB,2019,0.31
TKM,2019,6.07
ESP,2019,5.28
MEX,2019,5.29
SAU,2019,5.43
MRT,2019,5.47
KHM,2019,5.49
MYS,2019,5.77
LAO,2019,5.98
AFG,2019,5.96
SLV,2019,6.11
PRY,2019,6.16
PNG,2019,3.57
GTM,2019,6.23
BRA,2019,6.41
BGR,2019,6.5
SSD,2019,6.69
CHN,2019,6.67
BOL,2019,6.82
NGA,2019,6.87
LCA,2019,6.85
GBR,2019,6.88
MLT,2019,5.32
TJK,2019,5.32
ISR,2019,5.15
ARE,2019,5.24
ALB,2019,3.72
COL,2019,3.74
BGD,2019,3.85
KIR,2019,30.56
AZE,2019,3.97
ITA,2019,4.33
TON,2019,4.37
TLS,2019,4.53
LBY,2019,4.49
OMN,2019,4.47
IRQ,2019,4.74
QAT,2019,4.66
NIC,2019,4.66
SDN,2019,4.76
SWZ,2019,40.46
GUY,2019,40.85
BTN,2019,5.07
DOM,2019,5.11
IRN,2019,5.13
VNM,2019,7.22
BHR,2019,7.2
MKD,2019,7.15
COM,2019,8.46
MUS,2019,8.75
IRL,2019,8.9
LSO,2019,87.48
MDG,2019,9.18
SVK,2019,9.31
POL,2019,9.3
NLD,2019,9.27
RWA,2019,9.45
FJI,2019,9.51
ETH,2019,9.45
CZE,2019,9.48
GMB,2019,9.64
SGP,2019,9.65
FRA,2019,9.65
PAK,2019,9.77
NPL,2019,9.77
CHE,2019,9.83
NOR,2019,9.91
ATG,2019,0.32
LUX,2019,8.62
DEU,2019,8.27
PRT,2019,7.22
KGZ,2019,8.28
MAR,2019,7.29
ROU,2019,7.33
LBR,2019,7.37
CRI,2019,7.62
DNK,2019,7.63
ECU,2019,7.68
SYC,2019,7.73
GEO,2019,7.65
BLZ,2019,7.65
SRB,2019,7.86
MLI,2019,7.96
THA,2019,7.95
CHL,2019,8.04
ARG,2019,8.14
PRK,2019,8.2
TZA,2019,8.15
BIH,2019,8.25
TTO,2019,8.28
UZB,2019,8.28
GRC,2019,3.62
YEM,2019,7.06
BHS,2019,3.37
GAB,2019,13.11
MDA,2019,12.17
GIN,2019,12.33
SWE,2019,12.37
GNB,2019,12.38
COD,2019,12.41
AGO,2019,12.55
BEN,2019,12.71
LKA,2019,12.89
IND,2019,12.91
TCD,2019,13.22
