,SpatialDimValueCode,HealthAvailVal_nurse,Period,suicide_rate,HealthAvailVal_psych,FactValueNumeric_alcohol,HDI,Health_Expenditure,HomicideRate
0,AFG,0.098,2016,6.01,0.231,0.011,0.483,12.0,9.02
1,ALB,6.876,2016,4.17,1.471,4.38,0.795,7.0,3.78
2,AGO,0.66,2016,12.87,0.057,6.1,0.595,3.0,9.82
3,ATG,7.005,2016,0.49,1.001,10.13,0.822,5.0,2.42
4,ARM,11.245,2016,4.43,3.84,3.96,0.773,10.0,3.8
5,AUS,90.582,2015,11.81,13.525,9.79,0.933,10.0,1.14
6,AZE,6.717,2016,3.92,3.452,0.41,0.752,4.0,2.53
7,BHR,27.918,2017,6.73,5.467,1.52,0.867,5.0,0.22
8,BGD,0.873,2016,3.6,0.13,0.004,0.613,2.0,2.82
9,BEL,125.692,2013,15.38,20.057,10.33,0.917,11.0,1.43
10,BLZ,3.34,2016,6.67,1.392,6.43,0.72,5.0,35.5
11,BTN,0.127,2016,5.05,0.508,0.059,0.635,4.0,1.66
12,BIH,22.144,2015,8.33,8.032,4.89,0.757,9.0,1.74
13,BRA,34.948,2016,5.67,3.165,6.59,0.753,9.0,32.95
14,BRN,15.088,2016,2.38,1.197,0.66,0.83,3.0,1.31
15,BGR,17.736,2016,6.57,7.203,11.08,0.81,7.0,1.41
16,BFA,0.635,2016,15.16,0.039,7.1,0.422,6.0,9.75
17,BDI,0.049,2017,12.46,0.01,3.12,0.422,7.0,6.35
18,KHM,0.277,2016,5.75,0.387,3.81,0.573,6.0,2.44
19,CAN,68.659,2017,11.68,14.679,8.13,0.929,11.0,1.8
20,CAF,0.022,2017,25.73,0.022,1.46,0.379,7.0,21.75
21,TCD,0.021,2016,13.68,0.007,0.62,0.388,5.0,9.5
22,CHL,1.88,2016,9.18,6.97,6.66,0.851,9.0,4.01
23,CHN,5.423,2015,7.08,2.199,6.32,0.741,5.0,0.95
24,COL,0.0,2016,4.11,1.835,4.26,0.763,8.0,43.07
25,COM,0.386,2017,8.58,0.129,0.18,0.571,5.0,7.77
26,COG,0.5,2016,12.29,0.08,5.33,0.606,3.0,10.5
27,CRI,5.699,2016,7.29,3.931,3.25,0.796,7.0,11.72
28,CIV,0.381,2016,17.0,0.13,1.81,0.506,7.0,11.99
29,HRV,41.856,2016,11.48,11.095,10.25,0.85,7.0,1.22
30,CUB,8.899,2016,9.73,9.056,4.65,0.763,12.0,5.25
31,CZE,30.348,2015,10.49,12.364,12.81,0.891,7.0,0.77
