,SpatialDimValueCode,HealthAvailVal_nurse,Period,suicide_rate,HealthAvailVal_psych,FactValueNumeric_alcohol,HDI,Health_Expenditure,HomicideRate
0,AFG,0.00065224191519524,2016,0.13339596054485675,0.005096816764886573,0.0007265521796565389,0.19137931034482758,0.6666666666666667,0.187838400666389
1,ALB,0.045763422539617044,2016,0.09018318459370597,0.03331133814193724,0.28929986789960366,0.7293103448275863,0.33333333333333337,0.07871720116618075
2,AGO,0.004392649632947535,2016,0.29450446218882104,0.0011376823135907526,0.4029062087186261,0.3844827586206897,0.06666666666666668,0.2044981257809246
3,ATG,0.04662198587696587,2016,0.003757632691404415,0.022617124394184163,0.6690885072655218,0.7758620689655172,0.19999999999999998,0.050395668471470215
4,ARM,0.07484143200378034,2016,0.09628933771723815,0.08721472615986711,0.261558784676354,0.6913793103448277,0.5333333333333333,0.07913369429404414
5,AUS,0.6028711955328084,2015,0.26961014560826685,0.3075837903023959,0.6466314398943196,0.967241379310345,0.5333333333333333,0.02374010828821324
6,AZE,0.044705193309861495,2016,0.08431188351338657,0.07838631140640287,0.02708058124174372,0.6551724137931035,0.13333333333333333,0.05268638067471886
7,BHR,0.1858090794736807,2017,0.15030530765617664,0.1242349086441102,0.10039630118890355,0.8534482758620691,0.19999999999999998,0.004581424406497292
8,BGD,0.0058102774690351475,2016,0.07679661813057774,0.002798698491433252,0.0002642007926023778,0.41551724137931034,0.0,0.058725531028738016
9,BEL,0.8365468449461234,2013,0.35345232503522783,0.4562106077498918,0.6822985468956406,0.9396551724137933,0.6,0.0297792586422324
10,BLZ,0.022229469354613278,2016,0.14889619539689997,0.03151380008646385,0.42470277410832225,0.6,0.19999999999999998,0.7392753019575177
11,BTN,0.0008452522778550559,2016,0.11085016439643025,0.011399576782179344,0.003896961690885072,0.45344827586206893,0.13333333333333333,0.034568929612661385
12,BIH,0.14738005071513666,2015,0.18788163457022078,0.1825980113313158,0.3229854689564068,0.6637931034482759,0.4666666666666667,0.03623490212411495
13,BRA,0.23259745359431883,2016,0.12541099107562237,0.07185601492639195,0.4352708058124174,0.656896551724138,0.4666666666666667,0.6861724281549355
14,BRN,0.10041863282107939,2016,0.04814466885861907,0.027076839063459916,0.043593130779392336,0.7896551724137931,0.06666666666666668,0.02728029987505206
15,BGR,0.11804247559084466,2016,0.14654767496477222,0.16373523857198113,0.7318361955085865,0.7551724137931036,0.33333333333333337,0.029362765514369008
16,BFA,0.00422626138927528,2016,0.3482855800845468,0.0007281166806980818,0.4689564068692205,0.08620689655172409,0.2666666666666667,0.20304039983340275
17,BDI,0.00032612095759762,2017,0.2848755284170973,6.826093881544517e-05,0.20607661822985468,0.08620689655172409,0.33333333333333337,0.1322365680966264
18,KHM,0.0018435817398885865,2016,0.12728980742132456,0.008646385583289722,0.25165125495376484,0.346551724137931,0.2666666666666667,0.050812161599333605
19,CAN,0.45696201689173455,2017,0.2665570690465007,0.33384149810007047,0.5369881109643329,0.9603448275862071,0.6,0.03748438150770512
20,CAF,0.00014642165443158448,2017,0.596524189760451,0.0003413046940772259,0.09643328929986789,0.012068965517241348,0.33333333333333337,0.45293627655143687
21,TCD,0.00013976612468469428,2016,0.3135274776890559,0.0,0.040951122853368556,0.02758620689655178,0.19999999999999998,0.19783423573511036
22,CHL,0.012512395924153583,2016,0.20784405824330673,0.15843363899064822,0.439894319682959,0.8258620689655173,0.4666666666666667,0.08350687213660973
23,CHN,0.036092937817385574,2015,0.1585251291686238,0.0498759926278186,0.4174372523117569,0.6362068965517241,0.19999999999999998,0.019783423573511035
24,COL,0.0,2016,0.08877407233442933,0.04159366538487792,0.2813738441215323,0.6741379310344827,0.4,0.8969179508538109
25,COM,0.0025690344822996186,2017,0.1937529356505402,0.0027759448451614367,0.011889035667106999,0.34310344827586203,0.19999999999999998,0.1618075801749271
26,COG,0.003327764873445102,2016,0.28088304368248007,0.001661016177842499,0.3520475561426684,0.4034482758620689,0.06666666666666668,0.21865889212827988
27,CRI,0.03792986402752727,2016,0.16345702207609208,0.08928530797060229,0.21466314398943195,0.7310344827586207,0.33333333333333337,0.24406497292794668
28,CIV,0.0025357568335651675,2016,0.39149835603569755,0.002798698491433252,0.11955085865257595,0.2310344827586207,0.33333333333333337,0.24968763015410245
29,HRV,0.2785738530858364,2016,0.26186002818224524,0.2522924298618853,0.6770145310435931,0.8241379310344829,0.33333333333333337,0.025406080799666803
30,CUB,0.059227559217575915,2016,0.22076092062000943,0.2058977451136544,0.3071334214002642,0.6741379310344827,0.6666666666666667,0.10932944606413994
31,CZE,0.2019820167586239,2015,0.2386096759041804,0.28116680698081864,0.8461030383091148,0.8948275862068965,0.33333333333333337,0.016034985422740525
32,ECU,0.0003727096658258514,2016,0.20502583372475344,0.01026189446858859,0.21400264200792601,0.6706896551724139,0.33333333333333337,0.15826738858808828
33,EGY,0.03193988725532609,2016,0.07750117426021606,0.036246558511001385,0.01056803170409511,0.5689655172413793,0.19999999999999998,0.08204914618908787
34,GNQ,0.03397647935787449,2017,0.3013151714419916,0.01533595758720335,0.42536327608982827,0.4793103448275863,0.06666666666666668,0.06955435235318616
35,EST,0.15629846057596955,2016,0.2855800845467356,0.36817675032423935,0.9999999999999999,0.8827586206896553,0.33333333333333337,0.05664306538942108
36,ETH,0.006662185276637093,2017,0.21841240018788166,0.0015700015927552387,0.11030383091149272,0.17241379310344818,0.06666666666666668,0.15680966264056642
37,FJI,0.009697106841219027,2016,0.2278064819163927,0.004937541240983867,0.17503302509907528,0.6017241379310344,0.06666666666666668,0.048104956268221574
38,FIN,0.34588788094588385,2017,0.3304368248003758,0.5365082254431272,0.5541611624834875,0.9689655172413795,0.4666666666666667,0.026030820491461888
39,FRA,0.6523550592009371,2017,0.23649600751526542,0.4755512070809347,0.7635402906208718,0.9086206896551724,0.6,0.01832569762598917
40,GAB,0.0034475644088891254,2016,0.33395960544856745,0.005733918860497394,0.4933949801849405,0.5586206896551723,0.06666666666666668,0.1828404831320283
41,GMB,0.0020166255133077316,2016,0.2256928135274777,0.0021388427495506153,0.08388375165125495,0.17241379310344818,0.06666666666666668,0.17992503123698458
42,GEO,0.039414047161083786,2016,0.2043212775951151,0.15242667637488905,0.46169088507265515,0.7413793103448277,0.4,0.048937942523948355
43,GHA,0.051467211532701944,2016,0.2679661813057774,0.001160435959862568,0.12879788639365916,0.36896551724137916,0.06666666666666668,0.12932111620158265
44,GRC,0.08484469321335632,2016,0.07256928135274777,0.13188013379144006,0.451783355350066,0.8706896551724138,0.4,0.017700957934194083
45,GRD,0.006229575843089231,2016,0.013621418506341007,0.04243555029693508,0.5416116248348744,0.7155172413793104,0.13333333333333333,0.13306955435235318
46,GTM,0.007128072358919408,2016,0.13809300140911226,0.011035518441830303,0.10700132100396301,0.45000000000000007,0.2666666666666667,0.5501874219075386
47,HTI,0.0015507384310254175,2016,0.26561766087364963,0.0015472479464834236,0.19484808454425362,0.31034482758620696,0.19999999999999998,0.43107038733860886
48,HUN,0.22455091813032857,2016,0.30554250821982154,0.2519283715215363,0.7265521796565388,0.8120689655172414,0.33333333333333337,0.03165347771761766
49,IND,0.005297801678524602,2016,0.28816345702207613,0.00648478918746729,0.19286657859973577,0.44482758620689655,0.13333333333333333,0.0810079133694294
50,IDN,0.01675862390266953,2016,0.052841709722874594,0.0068943548203599615,0.005151915455746367,0.5672413793103447,0.06666666666666668,0.09412744689712618
51,IRN,0.06290141163785931,2017,0.12846406763738846,0.045712075360076446,0.01056803170409511,0.7172413793103448,0.4,0.06684714702207413
52,IRQ,0.008106435231712268,2017,0.11366838891498357,0.0076452251473298595,0.01056803170409511,0.5086206896551725,0.13333333333333333,0.3281965847563515
53,ITA,0.15635170481394467,2015,0.10568341944574919,0.13586202188900767,0.4801849405548216,0.8775862068965518,0.4666666666666667,0.016034985422740525
54,JAM,0.06836560156005618,2015,0.04321277595115078,0.025984664042412793,0.21466314398943195,0.5862068965517241,0.2666666666666667,1.0
55,JPN,0.5577666704381335,2016,0.31517144199154534,0.26985824478372655,0.4299867899603698,0.9344827586206897,0.6,0.005206164098292378
56,JOR,0.021943281575497003,2016,0.035932362611554726,0.02543857653188923,0.02113606340819022,0.6344827586206897,0.33333333333333337,0.058725531028738016
57,KOR,0.09092784740201397,2016,0.47346171911695634,0.1316525973287219,0.5303830911492733,0.9310344827586209,0.33333333333333337,0.018117451062057473
58,KGZ,0.04901797658584635,2016,0.2172381399718178,0.038248879382921104,0.3428005284015852,0.5517241379310344,0.2666666666666667,0.09246147438567263
59,LVA,0.1519723662404909,2015,0.39478628464067644,0.22708138979271425,0.7199471598414795,0.8293103448275861,0.2666666666666667,0.1268221574344023
60,LBN,0.02093164105396969,2015,0.059652418976045105,0.027440897403808957,0.08058124174372522,0.6620689655172415,0.33333333333333337,0.08642232403165348
61,LBR,0.04260204590984419,2016,0.1712071395021137,0.0008418849120571571,0.18956406869220607,0.1827586206896551,0.5333333333333333,0.21282798833819241
62,LTU,0.3311991267944972,2016,0.6077970878346642,0.41969100548362875,0.809114927344782,0.8586206896551724,0.33333333333333337,0.11286963765097875
63,MDG,0.0020898363405235237,2016,0.21465476749647724,0.001160435959862568,0.04623513870541611,0.22241379310344822,0.19999999999999998,0.1455643481882549
64,MYS,0.04551051240923521,2016,0.11836542977923908,0.023686545768959472,0.04029062087186261,0.7344827586206898,0.13333333333333333,0.05851728446480633
65,MLI,0.0006123087367138988,2016,0.18694222639736965,0.0005005802179799313,0.24174372523117568,0.06034482758620685,0.13333333333333333,0.2353186172428155
66,MRT,0.0014309388955813939,2013,0.11977454203851573,0.0014789870076679784,0.0,0.2724137931034484,0.06666666666666668,0.24323198667221987
67,MEX,0.014901731103287165,2016,0.12306247064349463,0.004550729254363011,0.2926023778071334,0.6913793103448277,0.2666666666666667,0.41857559350270723
68,MDA,0.09870150614638172,2015,0.3135274776890559,0.1033698150128558,0.4068692206076618,0.65,0.4666666666666667,0.11432736359850063
69,MNG,0.027946569407191965,2016,0.4577266322217004,0.09156067259778378,0.523117569352708,0.6362068965517241,0.19999999999999998,0.14868804664723032
70,MNE,0.12184278307631895,2016,0.36989196806012214,0.18819540831418233,0.6030383091149273,0.7827586206896552,0.4666666666666667,0.07975843398583923
