SpatialDimValueCode,HealthAvailVal_nurse,HealthAvailVal_psych,FactValueNumeric_alcohol,suicide_rate,HDI,Health_Expenditure,HomicideRate,cluster
AFG,0.0006522419151952,0.0046634605375471,0.00064506880733939,0.09028620416776573,0.2488587731811697,0.47105263157894733,0.0931637843336724,0
AGO,0.0043926496329475,0.0010409510128453,0.35200688073394487,0.19568715378528093,0.35099857346647645,0.1052631578947368,0.11304679552390637,0
ALB,0.045763422539617,0.030479045656111405,0.2529529816513761,0.0750527565286204,0.7033523537803139,0.27368421052631575,0.04885045778229904,0
ARE,0.029084664993910096,0.0341848312618408,0.10346903669724765,0.08323001846478499,0.8266761768901569,0.11578947368421048,0.011012207527975531,0
ARG,0.05196304849884521,0.45173110153436175,0.4021788990825687,0.11587312054866787,0.8056348074179743,0.41052631578947363,0.06527466937945062,0
ARM,0.0748414320037803,0.0797993046447234,0.21657110091743115,0.05398311791084143,0.6710413694721826,0.36842105263157887,0.0416836215666327,0
ATG,0.0466219858769658,0.020694106135365202,0.5253175723359209,0.002901609074122885,0.7940305058707341,0.20242914979757076,0.027740824790672143,0
AUS,0.6028711955328084,0.2814315158328649,0.5748566513761467,0.13957399103139012,0.9432952924393725,0.41052631578947363,0.012497456765005025,1
AZE,0.0447051933098614,0.0717215247850436,0.03618119266055041,0.05592851490371929,0.6485021398002854,0.11052631578947363,0.026866734486266485,0
BDI,0.0003261209575976,6.245706077072014e-05,0.2559919724770642,0.2103666578739119,0.17168330955777455,0.34736842105263155,0.058296032553407894,0
BEL,0.8365468449461234,0.41742135615097953,0.5743119266055046,0.2127077288314429,0.9286019971469329,0.46578947368421053,0.016968463886063025,-1
BFA,0.0042262613892752,0.000666208648221,0.3420298165137614,0.20690451068319704,0.15285306704707555,0.19210526315789467,0.1020905391658189,0
BGD,0.0058102774690351,0.0025607394915995,0.000180619266054995,0.06394091268794509,0.4261055634807418,0.0526315789473684,0.031180061037639845,0
BGR,0.1180424755908446,0.1498136697687006,0.606966743119266,0.11859667633869689,0.744222539229672,0.3131578947368421,0.02270091556459812,0
BHR,0.1858090794736807,0.1136718506027106,0.1163990825688073,0.10136507517805327,0.8001426533523539,0.14736842105263154,0.007833163784333625,0
BIH,0.1473800507151366,0.1670726375616763,0.26814793577981644,0.11101951991558953,0.6524251069900143,0.41315789473684206,0.020478128179043688,0
BLR,0.08480476003487493,0.2809943164074698,0.6909977064220183,0.377400422052229,0.735734664764622,0.24736842105263154,0.0695218718209562,0
BLZ,0.0222294693546132,0.028834343055815705,0.3521215596330275,0.09936692165655497,0.630527817403709,0.1710526315789473,0.32993387589013223,0
BOL,0.127413461474466,0.0233381217079924,0.16714449541284399,0.09603666578739115,0.5725392296718973,0.23684210526315783,0.0927873855544252,0
BRA,0.2325974535943188,0.0657464659713113,0.395670871559633,0.06959245581640724,0.6561340941512126,0.3894736842105263,0.3269226856561546,-1
BRB,0.42150800993005044,0.045260550038515146,0.4991685779816513,0.01110986547085198,0.751925820256776,0.29736842105263156,0.11549847405900301,-1
BRN,0.1004186328210793,0.0247746341057189,0.029701834862385278,0.025830915325771513,0.7975035663338088,0.06842105263157891,0.01005595116988805,0
BTN,0.000845252277855,0.0104303291487102,0.009214449541284331,0.0680427327881825,0.5158345221112696,0.14210526315789468,0.027222787385554382,0
CAF,0.0001464216544315,0.0003122853038536,0.09326261467889904,0.3629978897388552,0.12860199714693293,0.21052631578947362,0.23049338758901322,0
CAN,0.45696201689173443,0.3054566652093352,0.46270068807339443,0.1374571353204959,0.9309557774607704,0.47105263157894733,0.017675483214648992,1
CHE,0.6166947308170995,0.9149751212707932,0.5778383027522935,0.16124373516222631,0.9520684736091297,0.47894736842105257,0.007665310274669335,-1
CHL,0.0125123959241535,0.1449628380488413,0.39939793577981647,0.12985360063307833,0.7905848787446506,0.3368421052631579,0.04900305188199386,0
CHN,0.0360929378173855,0.0456352924031395,0.24446674311926603,0.13162753890793982,0.6089158345221113,0.18157894736842098,0.013702950152594054,0
CIV,0.0025357568335651,0.0025607394915995,0.13520642201834857,0.25814428910577686,0.307774607703281,0.1578947368421052,0.1323906408952187,0
COG,0.0033277648734451,0.0015197884787541,0.2153096330275229,0.2116328145608019,0.43865905848787445,0.060526315789473664,0.11323499491352995,0
COL,0.0,0.0380571690296254,0.24951261467889901,0.05613294645212341,0.6631241084165478,0.3078947368421053,0.6150101729399797,2
COM,0.0025690344822996,0.0025399204713426,0.01034977064220178,0.1200408863096808,0.3722539229671897,0.24473684210526309,0.09048321464903354,0
CRI,0.0379298640275272,0.0816938354881019,0.21338876146788985,0.08800448430493271,0.7186162624821684,0.33157894736842103,0.09646490335707017,0
CUB,0.0592275592175759,0.1883913143047487,0.25481651376146786,0.14808098127143232,0.7039229671897289,0.46578947368421053,0.05536113936927768,0
CYP,0.23274387524875043,0.22282597380967245,0.503125,0.045007913479293025,0.8456490727532098,0.2710526315789473,0.01646490335707014,0
CZE,0.20198201675862387,0.2572606333145962,0.7579128440366972,0.15761672381957265,0.8624821683309557,0.31052631578947365,0.010488301119023349,0
DEU,0.15035036494217557,0.274706972289884,0.6594610091743119,0.1250791347929306,0.9503566333808845,0.5052631578947369,0.010050864699898219,0
DOM,0.052004361482274074,0.0473216330439489,0.32930045871559627,0.07444605644948558,0.6347360912981455,0.18947368421052624,0.2325940996948118,0
ECU,0.0003727096658258,0.0093893781358649,0.20366972477064219,0.12244130836190976,0.6735378031383737,0.2710526315789473,0.16745167853509663,0
EGY,0.031939887255326,0.0331646992692523,0.009776376146788945,0.047691901872856726,0.5808844507845935,0.1973684210526315,0.03813326551373343,0
