SpatialDimValueCode,Period,FactValueNumeric
AFG,2019,0.013
BEN,2019,5.19
ALB,2019,4.38
KGZ,2019,4.44
KHM,2019,4.5
CUB,2019,4.75
CHN,2019,4.78
MEX,2019,4.78
NAM,2019,5.04
PHL,2019,5.02
TZA,2019,5.09
GUY,2019,5.16
COL,2019,4.19
URY,2019,5.16
AGO,2019,5.28
BIH,2019,5.33
PRY,2019,5.29
CPV,2019,5.47
UKR,2019,5.53
COG,2019,5.6
DOM,2019,5.62
PER,2019,5.66
STP,2019,4.17
ARM,2019,4.08
NOR,2019,6.02
CRI,2019,3.19
SLV,2019,2.92
NGA,2019,2.95
TKM,2019,2.86
BOL,2019,2.98
ECU,2019,2.98
FJI,2019,3.05
HTI,2019,3.03
IND,2019,2.98
BDI,2019,3.1
ZMB,2019,3.25
MKD,2019,4.04
GNB,2019,3.29
PRK,2019,3.37
VNM,2019,3.42
JAM,2019,3.48
LSO,2019,3.48
MLI,2019,3.53
NIC,2019,3.73
KAZ,2019,3.86
CMR,2019,4.05
BLZ,2019,5.93
GNQ,2019,6.19
LBR,2019,2.84
USA,2019,8.93
ISL,2019,7.66
KOR,2019,7.76
CYP,2019,7.93
CAN,2019,8.08
FIN,2019,8.32
NLD,2019,8.29
GRD,2019,8.46
NIU,2019,8.5
KNA,2019,8.83
MLT,2019,9.04
ITA,2019,7.59
NZL,2019,9.12
BEL,2019,9.22
DNK,2019,9.23
CHE,2019,9.25
AUS,2019,9.5
BHS,2019,9.46
GBR,2019,9.84
MNE,2019,9.91
BGD,2019,0.004
VCT,2019,7.61
GEO,2019,7.64
BRA,2019,6.32
THA,2019,6.68
DMA,2019,6.34
PAN,2019,6.28
MDA,2019,6.34
SUR,2019,6.26
CHL,2019,6.39
JPN,2019,6.44
GAB,2019,6.6
GRC,2019,6.62
UGA,2019,6.57
MUS,2019,6.98
ARG,2019,7.64
SWZ,2019,7.13
RUS,2019,7.11
SWE,2019,7.12
BFA,2019,7.22
MNG,2019,7.19
BWA,2019,7.43
LAO,2019,7.4
ZAF,2019,7.35
SRB,2019,7.45
ZWE,2019,2.78
TTO,2019,5.68
HND,2019,2.78
ERI,2019,0.88
TCD,2019,0.53
MAR,2019,0.47
OMN,2019,0.47
DZA,2019,0.57
BRN,2019,0.66
MDG,2019,0.71
MYS,2019,0.67
NPL,2019,0.8
